customer_id,date_of_birth,first_name,last_name,second_name,gender
60872994,1982-03-06,Наина,Виноградова,Олеговна,жен
36851349,1960-11-12,Руслан,Дементьев,Захарьевич,муж
67471236,1963-05-22,Ксения,Юдина,Архиповна,жен
36426514,2001-02-08,Полина,Панова,Павловна,жен
61463423,1985-12-01,Боян,Ермаков,Ермолаевич,муж
57658377,1956-12-21,Тимофей,Лаврентьев,Дмитриевич,муж
40747939,1994-05-04,Татьяна,Белова,Вадимовна,жен
56308292,1991-11-08,Борис,Лыткин,Ааронович,муж
38143082,1977-03-05,Клавдия,Дементьева,Дмитриевна,жен
56481828,1975-11-03,Святополк,Белоусов,Евсеевич,муж
43455243,2006-10-07,Дарья,Архипова,Федоровна,жен
41329062,1979-07-15,Анжела,Наумова,Кирилловна,жен
58865257,1973-09-07,Руслан,Кудряшов,Эдгарович,муж
62549547,1994-08-22,Борис,Цветков,Филатович,муж
65974029,1953-02-09,Ладимир,Белозеров,Ефимьевич,муж
52995157,1994-11-22,Ирина,Шарапова,Юрьевна,жен
51162294,1954-08-16,Федот,Артемьев,Гертрудович,муж
35616968,2010-01-31,Творимир,Федосеев,Харламович,муж
56928367,1951-08-01,Лариса,Горшкова,Олеговна,жен
54640089,1954-12-07,Людмила,Гуляева,Григорьевна,жен
34120300,1953-07-06,Клавдий,Беляев,Измаилович,муж
58154283,1953-06-08,Вацлав,Комиссаров,Фролович,муж
54148648,1965-08-25,Наина,Крылова,Богдановна,жен
33529669,1992-04-22,Валентина,Кондратьева,Федоровна,жен
43291044,1981-09-29,Изот,Носков,Филиппович,муж
58075500,1994-01-29,Фёкла,Калашникова,Тимофеевна,жен
57845230,1998-10-15,Клавдий,Николаев,Иосифович,муж
62039593,1960-01-07,Сократ,Фомин,Тарасович,муж
58642165,1961-05-31,Степан,Шубин,Ерофеевич,муж
37686355,1984-08-23,Алина,Шашкова,Аркадьевна,жен
54610616,2004-04-02,Остап,Максимов,Гертрудович,муж
60861573,1962-10-23,Марина,Рогова,Григорьевна,жен
45744646,1971-09-01,Зинаида,Бурова,Александровна,жен
60031345,1998-01-11,Фортунат,Николаев,Теймуразович,муж
57946576,1952-07-09,Эрнст,Некрасов,Харламович,муж
66945522,1972-06-15,Анастасия,Галкина,Руслановна,жен
61324128,1993-11-20,Зинаида,Гаврилова,Алексеевна,жен
36443891,1962-06-06,Наина,Ефремова,Захаровна,жен
45168785,1950-03-14,Вероника,Третьякова,Руслановна,жен
51501493,2008-01-05,Маргарита,Пахомова,Руслановна,жен
62145095,1962-01-25,Константин,Суханов,Валерьянович,муж
66477514,1963-03-11,Харитон,Большаков,Ефимьевич,муж
44157664,1981-04-27,Радован,Пономарев,Елисеевич,муж
62743671,1961-05-07,Анжела,Доронина,Вадимовна,жен
38282837,1979-08-08,Панкратий,Фомичев,Эдуардович,муж
39910682,1986-10-18,Натан,Матвеев,Афанасьевич,муж
35509122,1999-04-30,Дарья,Комиссарова,Тимофеевна,жен
58373692,1964-12-03,Майя,Зыкова,Владиславовна,жен
55914212,2001-04-22,Анжелика,Тарасова,Никифоровна,жен
36567580,1975-03-13,Полина,Комарова,Владимировна,жен
51060642,1979-08-01,Егор,Горбунов,Устинович,муж
56305585,1972-08-16,Ульяна,Давыдова,Руслановна,жен
55018192,1959-09-14,Ульяна,Кудрявцева,Васильевна,жен
35767602,2003-05-10,Лавр,Сидоров,Александрович,муж
43847155,1973-12-01,Лукия,Молчанова,Архиповна,жен
64870463,1994-05-01,Светлана,Зайцева,Святославовна,жен
50951080,1968-10-06,Марина,Ситникова,Тимофеевна,жен
59972226,1999-08-03,Вячеслав,Козлов,Яковлевич,муж
67702649,1994-04-22,Зоя,Тихонова,Юрьевна,жен
41855762,1977-05-24,Максимильян,Морозов,Бориславович,муж
43166919,1952-01-16,Юлий,Федоров,Абрамович,муж
51764725,2008-10-07,Емельян,Воронов,Владиславович,муж
59601249,1983-12-15,Акулина,Титова,Романовна,жен
32419148,2001-08-01,Данила,Никитин,Арсеньевич,муж
65345321,1995-04-26,Светлана,Осипова,Михайловна,жен
54306333,1963-11-23,Анна,Колобова,Яковлевна,жен
43884407,1994-05-16,Клавдия,Маслова,Валериевна,жен
